button;text
Доки які тобі потрібні;"Привіт, привіт)) Якщо ти натисла цю кнопку, то тобі певно потрібна допомога із документами. Знаю, що це велика морока, але впевнена, що разом ми впораємося ;)"
Дія;"По-перше, хочу розказати тобі про Дію. Це платформа і додаток, де ти онлайн з телефону чи комп`ютера можеш бачити свої документи в електронному форматі (наприклад, щоб не носити оригінали завжди із собою), отримувати різні довідки (наприклад, про відсутність судимості), оплачувати комуналку та вчитися.
Користування нею досить зручне, правда потрібно повозитися із реєстрацією, але це того однозначно варте."
Паспорт;"Якщо ти загубила чи в тебе викрали паспорт, то потрібно подати наступні документи до відділу Державної міграційної служби (іноді називають Паспортний стіл):

Заяву про втрату паспорта та кілька довідок. Зокрема, про реєстраційний номер платника податків та про реєстрацію місця проживання, видану місцевою радою.

Квитанції про сплату за адміністративну послугу та державного мита.

Якщо бажаєш, щоб у біометричному паспорті була інформація про шлюб чи розірвання шлюбу, тоді потрібно надати й відповідне свідоцтво.

Можуть надаватися за наявності й інші документи (свідоцтво про народження дітей та ін.).

Відновлення паспорта триває з дня оформлення нового документа та складає до 20 робочих днів, вартість 345 грн. та до 10 робочих днів - 471 грн."
Закордонний паспорт;Якщо тобі потрібно зробити закордонний паспорт, то звернися до цього ресурсу: https://diia.gov.ua/life-situations/yak-otrimati-pasport-dlya-viyizdu-za-kordon
Договір при оренді житла;Якщо збираєшся знімати житло, то прочитай інфо з цього сайту, там вказані основні умови оренди, а також нюанси, які з`явилися в  2020 році : https://lawportal.com.ua/orenda-zhitla-dogovir.html
Повідомлення про злочин;Якщо щодо тебе вчинили злочин, треба якомога швидше подати заяву до поліції. Подавати потрібно за місцем скоєння злочину (у районне відділення поліції). Ось зразок:
Загальна заява до поліції;"Особливих вимог до заяви немає, але потрібно вказати усі відомі тобі факти і довести, що злочин таки був. Для цього слід вказати наступні факти:

- назва органу до якого ти звертаєшся;
- твої прізвище, ім`я, та по батькові, номер телефону (можна подати і анонімну заяву, якщо боїшся, що це може нанести тобі ще більшу шкоду, наприклад, якщо тебе переслідують, але бажано обґрунтувати, чому не хочеш вказати своє ПІБ);
** у разі анонімного повідомлення поліція має перевірити інфо і, якщо будуть ознаки злочину, почати розслідування протягом 24 годин з моменту отримання повідомлення
- коротко опиши історію і обставини, які можуть свідчити про вчинення кримінального правопорушення, наприклад:
як загрожують життю\здоров`ю, хто, чому, які дії вчиняють, як довго та інші штуки, які здаються важливими;
- якщо можеш вказати статтю із Кримінального Кодексу України, то також це зроби;
- якщо є, то надай докази типу фоток чи відео з місця злочину або інші;
- постав дату і підпис.
Нижче можеш глянути приклад заяви про крадіжку:"
Оскарження дій слідчих;Протягом 10 днів після рішення, дії чи бездіяльності прокурора чи слідчого можна подати скаргу. Зразок:
У разі домашнього насильства;"Якщо над тобою вчиняють насильство, то обов`язково звернися за допомогою до поліції: номер 102 або O 8OO 5OO 2O2, додаток MyPol або бот @police_helpbot (#ДійПротиНасильства)
або на гарячі лінії: 116 123 (безкоштовно з мобільних телефонів) та O 8OO 5OO 335 (безкоштовно зі стаціонарних та мобільних телефонів).

Зразок заяви:"
Безоплатна правова допомога;"Є два види безоплатної правової допомоги: первинна та вторинна.
Отримати первинну мають право усі громадяни та громадянки України, це послуги типу допомоги з деякими заявами, консультації, отримання інформації та інші.
А ось вторинну допомогу можуть отримати лише певні групи осіб. Вона включає в себе складання більш складних документів, представництво в судах та інших органах, перед іншими особами, а також захист.
Тут можеш глянути, які групи мають право на таку допомогу, серед них малозабезпечені особи (їх дохід не перевищує двох прожиткових мінімумів), діти-сироти та діти, позбавлені батьківського піклування, люди з інвалідністю та інші…
https://minjust.gov.ua/legal_aid"
Рекомендую;"У телеграмі є класний бот - @fight_back_bot
Там детально розписано, що ти маєш робити, якщо постраждала від нападу чи іншого злочину"
